"","SampleID","TrueLabel","PredictedStep1","Step1_Probability","PredictedStep2","Step2_Probability","PredictedLabel","Step3_Probability","FinalPrediction"
"1","1-192-1_0_C3_1","1","Type1",0.848488091508819,NA,NA,NA,NA,"1"
"2","1-192-2_0_D3_1","1","Type1",0.932606106331276,NA,NA,NA,NA,"1"
"3","1-192-3_0_A3_1","1","Type1",0.815755255056546,NA,NA,NA,NA,"1"
"4","1-572-1_0_A8_1","1","Type1",0.997421830211687,NA,NA,NA,NA,"1"
"5","1-572-2_0_B8_1","1","Type1",0.970010499495259,NA,NA,NA,NA,"1"
"6","1-572-3_0_C8_1","1","Type1",0.989405489803918,NA,NA,NA,NA,"1"
"7","1-620-1_0_B10_1","1","Type1",0.975663108111783,NA,NA,NA,NA,"1"
"8","1-620-2_0_D10_1","1","Type1",0.999943523519288,NA,NA,NA,NA,"1"
"9","1-620-3_0_D10_1","1","Type1",0.958379554896879,NA,NA,NA,NA,"1"
"10","1-640-1_0_A11_1","1","Type1",0.997421830211687,NA,NA,NA,NA,"1"
"11","1-640-2_0_C11_1","1","Type1",0.970010499495259,NA,NA,NA,NA,"1"
"12","1-640-3_0_D11_1","1","Type1",0.989405489803918,NA,NA,NA,NA,"1"
"13","1-794-1_0_B14_1","1","Type1",0.999666087555123,NA,NA,NA,NA,"1"
"14","1-794-2_0_C14_1","1","Type1",0.999851569019633,NA,NA,NA,NA,"1"
"15","1-794-3_0_D14_1","1","Type1",0.928685517538813,NA,NA,NA,NA,"1"
"16","1-809-1_0_B15_1","1","Type1",0.952001533317694,NA,NA,NA,NA,"1"
"17","1-809-2_0_C15_1","1","Type1",0.846324252211247,NA,NA,NA,NA,"1"
"18","1-809-3_0_D15_1","1","Type1",0.900283134014178,NA,NA,NA,NA,"1"
"19","2-5-1_0_D23_1","2","Other",0.39672679281338,"Other",0.0203450162185008,4,0.987546948777102,"4"
"20","2-5-2_0_D23_1","2","Other",0.0672669221508976,"Other",0.145939360461293,4,0.991439951580847,"4"
"21","2-5-3_0_D23_1","2","Other",0.076222998836804,"Other",0.0371172268901017,4,0.988964170577976,"4"
"22","2-628-1_0_E3_1","2","Other",0.000394911761375523,"Other",0.376664508157508,2,0.0965209878449264,"2"
"23","2-628-2_0_F3_1","2","Other",0.00063328682667577,"Other",0.0592614711245315,2,0.00936189312378111,"2"
"24","2-628-3_0_H3_1","2","Other",0.000251519595199308,"Other",0.120434072398389,2,0.0611853653625994,"2"
"25","2-672-1_0_H6_2","2","Other",0.0669597834249409,"Type3",0.668866073032776,NA,NA,"3"
"26","2-672-2_0_H6_1","2","Other",0.0214678125032802,"Type3",0.736716021504732,NA,NA,"3"
"27","2-672-3_0_F6_1","2","Other",0.00798801819466099,"Other",0.0294098037406725,2,0.00248435269305514,"2"
"28","2-674-1_0_F7_1","2","Other",0.147884041694783,"Other",0.0182275625430297,2,0.000669780980819157,"2"
"29","2-674-2_0_F7_1","2","Other",0.0340436604405499,"Other",0.0117549791104387,2,0.00413005531655597,"2"
"30","2-674-3_0_G7_1","2","Other",0.06400115914178,"Other",0.0327935102745833,2,0.0351953307216391,"2"
"31","2-787-1_0_E11_1","2","Other",0.000506629146787525,"Type3",0.57131662019232,NA,NA,"3"
"32","2-787-2_0_E11_1","2","Other",0.00105842735440524,"Other",0.268893390912553,2,0.279827790596551,"2"
"33","2-787-3_0_H11_1","2","Other",0.00053796666770463,"Other",0.210263173965841,2,0.486238990298375,"2"
"34","2-904-1_0_F19_1","2","Other",0.00272949035785773,"Other",0.286942444835293,2,0.0727142120111933,"2"
"35","2-904-2_0_G19_1","2","Other",0.00119472599188852,"Type3",0.851578202619569,NA,NA,"3"
"36","2-904-3_0_H19_1","2","Other",0.0054296429868238,"Type3",0.8031402090558,NA,NA,"3"
"37","3-665-1_0_J10_1","3","Other",9.60031548031337e-05,"Type3",0.739697819376345,NA,NA,"3"
"38","3-665-2_0_K10_1","3","Other",0.00235954646076674,"Type3",0.510793388069104,NA,NA,"3"
"39","3-665-3_0_L10_1","3","Other",0.00301975193050697,"Type3",0.952795941172327,NA,NA,"3"
"40","3-678-1_0_N20_1","3","Other",0.020290807986768,"Other",0.116957936065262,4,0.625916312015554,"4"
"41","3-678-2_0_P20_1","3","Other",0.0197915990378476,"Other",0.0580040176255971,2,0.49525862112015,"2"
"42","3-678-3_0_P20_1","3","Other",0.0427594462868866,"Other",0.391233577583436,4,0.643822688086673,"4"
"43","3-721-1_0_I12_1","3","Other",0.0299217668472264,"Type3",0.82141922123597,NA,NA,"3"
"44","3-721-2_0_J12_1","3","Other",0.00419978065455256,"Type3",0.810543551246256,NA,NA,"3"
"45","3-721-3_0_K12_1","3","Other",0.0015454789990406,"Type3",0.813833976417771,NA,NA,"3"
"46","3-755-1_0_I14_1","3","Other",0.00190408354864035,"Type3",0.851749928514139,NA,NA,"3"
"47","3-755-2_0_K14_1","3","Other",0.312840051050737,"Type3",0.986528603514784,NA,NA,"3"
"48","3-755-3_0_L14_1","3","Other",0.00409807324770688,"Type3",0.929644488522446,NA,NA,"3"
"49","3-801-1_0_I15_1","3","Other",0.00902310030748291,"Type3",0.933373393860625,NA,NA,"3"
"50","3-801-2_0_J15_1","3","Other",0.00572135117155248,"Type3",0.975836259230171,NA,NA,"3"
"51","3-801-3_0_L15_1","3","Other",0.0469539298228408,"Type3",0.91447057870267,NA,NA,"3"
"52","3-906-1_0_I17_1","3","Other",0.0986272600643099,"Other",0.201873876301024,4,0.968256366799888,"4"
"53","3-906-2_0_J17_1","3","Other",0.00866099595355534,"Other",0.179802231975477,4,0.932099090098838,"4"
"54","3-906-3_0_I17_1","3","Other",0.0126456401316848,"Other",0.163551889578061,4,0.937926494051297,"4"
"55","4-135-1_0_M2_1","4","Other",0.00657927620670448,"Other",0.261264911766422,4,0.988662306704017,"4"
"56","4-135-2_0_M2_1","4","Other",0.00537846536420445,"Other",0.143230164057537,4,0.991067172486623,"4"
"57","4-135-3_0_M2_2","4","Other",0.00537846536420445,"Other",0.143230164057537,4,0.991067172486623,"4"
"58","4-544-1_0_N8_1","4","Other",0.0295292045472999,"Type3",0.699418792559409,NA,NA,"3"
"59","4-544-2_0_O8_1","4","Other",0.0109331570519061,"Other",0.101134551186401,4,0.844193693774763,"4"
"60","4-544-3_0_P8_1","4","Other",0.00758130586836862,"Other",0.231478179870815,4,0.863178598013057,"4"
"61","4-615-1_0_N11_1","4","Other",0.000221380810981445,"Other",0.246003513770085,4,0.550634525368361,"4"
"62","4-615-2_0_M11_1","4","Other",9.28954277798034e-05,"Type3",0.764649684655634,NA,NA,"3"
"63","4-615-3_0_P11_1","4","Other",0.00518786201025879,"Other",0.457605628486867,4,0.575363645904037,"4"
"64","4-701-1_0_M12_1","4","Other",0.000208761190354078,"Other",0.379883664692939,4,0.651309912989332,"4"
"65","4-701-2_0_O12_1","4","Other",0.00941062385757914,"Other",0.272194269140875,4,0.844488914217234,"4"
"66","4-701-3_0_N12_1","4","Other",0.0208594224768047,"Other",0.100616195746024,4,0.776147050295266,"4"
"67","4-802-1_0_P17_1","4","Other",0.000561159046494712,"Other",0.0550142459569429,4,0.808794134626439,"4"
"68","4-802-2_0_N17_1","4","Other",1.2821583351662e-05,"Other",0.142020043165865,4,0.982768107499843,"4"
"69","4-802-3_0_P17_1","4","Other",1.59943143252284e-05,"Other",0.256574347534913,4,0.898211209011521,"4"
"70","4-97-1_0_I23_1","4","Other",0.0385519196223746,"Other",0.0407882366269074,4,0.986048341146867,"4"
"71","4-97-2_0_J23_1","4","Other",0.0491326386302623,"Other",0.0800674546966327,4,0.909737146511969,"4"
"72","4-97-3_0_L23_1","4","Other",0.00461704728378175,"Type3",0.601435550606546,NA,NA,"3"
